First Term Gpa,Second Term Gpa,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Previous Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
2.97619,3.363636,1.0,8.0,6.0,2.0,2.0,1.0,2.0,0.0,6.0,77.95,30.0,9.0,1.0
4.086957,3.590909,3.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,3.0,85.71,43.7,3.0,1.0
4.285714,3.886364,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,92.19,44.0,10.0,1.0
2.852941,2.880952,1.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,83.0,25.0,7.0,1.0
2.404762,2.041667,1.0,2.0,6.0,2.0,2.0,1.0,2.0,0.0,1.0,64.0,29.02,9.0,1.0
3.055556,3.480769,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,81.12,36.5,7.0,1.0
2.7,1.815789,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,78.0,32.0,9.0,1.0
3.666667,3.58,3.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,4.0,85.26,44.15,9.0,1.0
2.847826,3.428571,3.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,79.22,32.0,8.0,1.0
2.921053,3.846154,1.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,93.0,43.0,9.0,1.0
2.880952,2.666667,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,74.34,37.0,4.0,1.0
